price.open,price.high,price.low,price.close,volume,price.adjusted,ret.adjusted.prices,ret.closing.prices,avgChange,Change
62.450001,63.400002,61.759998,61.77,2915700,60.839531,-0.008825448,-0.008825417,0.158303881,E
61.549999,61.810001,60.990002,61.650002,2937700,60.72134,-0.001942668,-0.001942658,0.744233471,U
61.52,61.849998,61.130001,61.66,2450800,61.102859,0.006283112,0.000162174,0.599451886,U
61.799999,62.560001,61.799999,62.189999,3865100,61.628071,0.008595539,0.008595508,0.607461005,U
62.419998,62.720001,61.540001,62.259998,3881800,61.697437,0.001125559,0.001125567,0.164214299,E
62.549999,64.290001,62.23,63.970001,3535100,63.391991,0.027465549,0.027465516,0.078463373,E
64.07,64.279999,63.369999,63.540001,2525900,62.965874,-0.006721937,-0.006721901,0.084783017,E
63.490002,64.379997,63.060001,64.110001,3891200,63.530724,0.008970732,0.008970727,0.103331975,E
63.990002,64.290001,62.580002,62.779999,3164300,62.212738,-0.020745647,-0.020745624,0.655982882,U
62.779999,64.230003,62.599998,64.220001,2505900,63.639729,0.02293728,0.022937273,0.310010228,E
64.309998,64.43,63.540001,63.810001,2554100,63.233437,-0.006384251,-0.006384304,0.469599909,E
64,64.889999,63.860001,64.440002,2005300,63.857738,0.009872957,0.009873076,0.408424949,E
64.349998,64.940002,64.349998,64.879997,2115200,64.293762,0.006828053,0.006827979,0,E
64.970001,65.989998,64.709999,65.220001,4769600,64.630692,0.005240477,0.005240506,0.396678879,E
65.220001,65.93,65.050003,65.330002,2373100,64.7397,0.001686629,0.001686615,0.388927417,E
65.349998,65.949997,65.260002,65.769997,2855200,65.175713,0.006734863,0.006734961,0.510204699,U
65.709999,65.82,64.470001,64.879997,4015300,64.293762,-0.013531896,-0.013532006,0.891035963,U
64.980003,66.940002,64.849998,66.519997,2932400,65.918945,0.02527746,0.025277436,0.439901029,E
66.599998,66.989998,66.07,66.610001,1502600,66.008133,0.001352995,0.001353037,0.672942953,U
66.540001,67.970001,66.080002,67.459999,3137600,66.850456,0.012760897,0.012760817,0.576647549,U
67.75,68.25,67.349998,67.849998,1736900,67.236923,0.005781068,0.005781189,0.537993728,U
67.93,68.419998,67.230003,68,1824900,67.385574,0.002210854,0.002210789,0.364921805,E
68.07,69.260002,68.07,68.889999,2315000,68.267532,0.013088232,0.013088221,0.01155397,E
68.989998,69.540001,68.559998,69.43,2215900,68.80265,0.007838543,0.007838598,0.172736146,E
69.5,69.709999,68.760002,69.699997,2775400,69.070206,0.003888746,0.003888766,0.028760497,E
69.879997,70.050003,69.25,69.260002,2653400,68.634193,-0.006312606,-0.006312698,0.338632836,E
69.260002,69.68,68.709999,68.93,2547700,68.307167,-0.004764768,-0.004764684,0.183502019,E
69.040001,70.389999,68.629997,70.029999,2401500,69.397232,0.015958282,0.015958204,0.176896057,E
70.099998,70.25,69.519997,69.800003,2063600,69.169312,-0.003284281,-0.00328425,0.389612655,E
69.839996,70.580002,69.629997,70.440002,1932400,69.803528,0.009169037,0.00916904,0.113418777,E
70.199997,70.449997,69.389999,69.57,1818600,68.941391,-0.012350909,-0.012350965,0.520304264,U
69.68,70.809998,69.43,70.650002,1488100,70.011627,0.015523853,0.015523961,0.395921716,E
70.75,71.330002,70.690002,71.169998,1423100,70.526932,0.007360277,0.00736017,0.588137203,U
70.970001,71.260002,70.269997,70.839996,3212800,70.199913,-0.004636796,-0.004636813,0.733909947,U
70.800003,71.550003,70.599998,71.410004,1814200,70.764763,0.008046306,0.008046415,0.396594236,E
71.480003,72.230003,71.269997,72.059998,1777800,71.408882,0.009102256,0.009102282,0.65277335,U
72.540001,74.029999,72.459999,73.279999,2771700,72.617859,0.016930345,0.01693035,0.130495883,E
73.43,73.980003,73.040001,73.489998,2033200,72.825966,0.002865783,0.002865707,0.035311134,E
73.489998,73.629997,72.629997,72.849998,2351900,72.19175,-0.008708652,-0.008708668,0.355169175,E
72.959999,74.809998,72.959999,74.449997,3630100,73.77729,0.021962897,0.021962924,-0.067532888,E
74.510002,74.879997,72.5,73.760002,3742100,73.093529,-0.009267906,-0.009267898,0.337154409,E
73.559998,73.970001,73.279999,73.620003,1529900,72.954796,-0.00189802,-0.001898034,0.317383461,E
73.760002,74.25,73.25,74.160004,1953100,73.489914,0.007334926,0.007334977,0.257172433,E
74.019997,74.489998,73.68,74.199997,1601600,73.529556,0.000539421,0.00053928,0.237827748,E
74.370003,75.400002,73.809998,75.010002,2854800,74.332237,0.01091644,0.01091651,0.54101386,U
75,75.550003,74.639999,74.800003,2403400,74.124138,-0.002799579,-0.002799613,0.541024249,U
74.949997,75.589996,74.559998,75.120003,1781100,74.441246,0.004278067,0.004278075,0.621067875,U
75.25,75.699997,74.639999,75.089996,3075200,74.411507,-0.000399496,-0.000399454,0.741378186,U
74.790001,77.470001,74.550003,77.050003,4517000,76.353806,0.026102132,0.026102106,0.709255026,U
77.139999,77.629997,75.970001,76.849998,3468500,76.155609,-0.002595771,-0.002595782,0.694480424,U
76.919998,78.150002,76.190002,77.489998,3491800,76.789825,0.008327896,0.008327912,1.029315813,U
77.330002,78.07,76.510002,77.940002,2663300,77.235764,0.005807267,0.005807253,1.071970688,U
77.889999,79.900002,77,79.809998,2767700,79.08886,0.023992719,0.023992763,0.687547757,U
79,79.940002,78.599998,79.57,2749400,78.851028,-0.003007149,-0.003007117,0.714862301,U
80.220001,82.040001,80.029999,81.57,3415600,80.832962,0.02513517,0.025135101,0.073034302,E
81.699997,82.610001,80.849998,82.239998,3438800,81.496902,0.008213728,0.00821378,-0.397744566,E
82.400002,83.160004,82.309998,82.599998,2979800,81.853653,0.004377479,0.004377432,-0.327763617,E
81.970001,83.360001,81.800003,82.489998,2664900,81.744644,-0.001331755,-0.001331719,-0.191204342,E
82.32,82.900002,81.75,81.870003,2500700,81.130249,-0.007516028,-0.007516002,-0.100760364,E
81.879997,82.019997,80.150002,80.610001,3985400,79.88163,-0.015390302,-0.015390277,-0.074010855,E
80.790001,81.540001,80.110001,81.260002,2260600,80.525757,0.008063518,0.008063528,-1.241834082,D
80.540001,81.720001,79.839996,81.709999,2388300,80.971687,0.005537731,0.005537743,-1.253468118,D
